Soil texture,Rainfall,SPI,TWI,Distance to river,Aspect,NDVI,Land cover,Profile curvature,Plan curvature,Slope,Altitude,Lithology
7,313,993,2,700,2,6,4,0,0,18,1972,5
7,313,4926,3,818,334,7,4,0,1,34,1997,5
7,313,3872,3,907,331,7,4,1,0,33,2011,5
7,313,5128,3,997,327,6,4,0,0,34,2036,5
7,313,2620,3,1116,320,9,4,0,0,15,2068,5
7,312,683,3,1205,80,8,5,0,0,11,2069,5
7,312,2097,3,1295,90,9,4,0,0,11,2043,5
7,312,6888,4,1415,65,11,5,0,0,10,2029,5
7,312,10163,4,1504,30,12,4,0,0,14,2012,5
7,312,1095,4,1594,49,13,4,0,0,8,2004,5
7,312,2694,4,1714,313,13,4,0,0,9,2004,5
7,312,662,4,1803,45,15,4,0,0,1,1996,5
7,312,87,4,1893,67,12,4,0,0,6,2004,5
7,312,1756,4,2013,65,13,4,0,0,12,1980,5
7,312,660,3,2103,58,10,5,0,0,11,1965,5
7,311,1119,4,2193,30,13,4,0,0,8,1955,5
7,315,336,3,551,167,9,5,0,0,6,1738,5
7,315,2695,3,488,194,11,5,1,0,17,1737,5
7,315,1535,3,424,196,11,4,0,0,17,1751,5
7,314,100,5,342,165,13,4,0,0,4,1761,5
7,314,1902,3,295,219,12,4,0,0,25,1779,5
7,314,1540,2,234,214,13,4,0,0,27,1807,5
7,314,941,2,123,142,9,5,0,0,20,1808,5
7,314,3246,3,42,153,11,5,0,0,23,1784,5
7,314,26210,4,30,298,12,4,0,0,10,1771,5
7,314,1232,2,94,321,11,4,0,0,22,1810,5
9,314,3335,3,134,330,9,4,0,0,26,1830,5
9,314,2186,3,192,347,10,4,0,0,20,1847,5
6,313,2165,2,283,338,9,4,0,0,23,1895,5
6,313,4472,3,362,348,7,4,0,0,29,1904,5
6,313,4006,3,445,332,7,4,0,0,33,1929,5
6,313,2694,3,560,321,6,4,0,0,27,1977,5
7,313,2052,2,646,316,5,4,0,1,42,2023,5
7,313,1395,2,730,348,7,4,1,0,29,2039,5
7,313,3036,3,844,321,6,4,0,0,30,2068,5
7,313,1403,2,931,323,5,4,0,0,32,2094,5
7,313,1202,3,1018,331,3,4,0,0,30,2112,5
7,313,872,3,1135,27,6,5,0,0,22,2117,5
7,312,1662,3,1223,45,8,5,0,0,21,2089,5
7,312,3134,3,1312,21,10,4,0,0,17,2066,5
7,312,562,3,1430,51,9,4,0,0,6,2054,5
7,312,473,3,1519,93,9,5,0,0,11,2032,5
7,312,1171,4,1608,19,14,4,0,0,7,2021,5
7,312,173,4,1726,345,13,4,0,0,6,2020,5
7,312,1071,3,1815,354,14,4,0,0,14,2016,5
7,312,1036,3,1905,26,9,5,0,-1,20,2006,5
7,312,293,3,2024,71,11,4,0,1,14,2000,5
7,311,2086,3,2113,92,7,5,1,0,18,1965,5
7,311,1089,4,2203,135,9,5,0,0,9,1955,5
7,311,13736,4,2322,301,11,4,0,0,24,1958,5
7,315,1501,4,469,201,11,5,0,0,14,1723,5
7,315,151,4,432,142,10,5,0,0,10,1731,5
7,314,1395,3,361,207,11,5,0,0,15,1727,5
7,314,332,3,276,178,11,4,0,0,16,1749,5
7,314,2069,3,216,230,11,4,0,0,13,1750,5
7,314,1900,3,182,206,12,4,0,0,23,1771,5
7,314,826,3,84,153,12,5,0,0,26,1778,5
7,314,4600,3,30,228,11,5,0,0,6,1762,5
7,314,1348,3,60,302,12,4,0,0,22,1789,5
7,314,2191,3,161,306,12,4,1,-1,35,1829,5
7,314,2620,3,216,335,11,4,0,0,29,1884,5
7,314,2332,3,258,351,9,4,0,0,24,1896,5
6,313,1618,2,339,322,10,4,0,1,35,1948,5
6,313,3319,2,408,1,9,4,-1,1,42,1972,5
7,313,3513,3,483,322,12,4,0,0,40,1980,5
7,313,1696,2,590,316,10,4,-1,0,19,2021,5
7,313,1587,2,674,267,10,4,1,1,30,2047,5
7,313,462,2,758,216,7,5,-1,0,11,2079,5
7,313,355,2,873,210,7,5,-1,0,18,2097,5
7,313,279,3,958,216,11,5,0,0,20,2106,5
7,313,264,3,1043,227,11,4,0,0,21,2123,5
7,312,404,3,1158,38,11,5,0,0,17,2142,5
7,312,2089,3,1244,42,9,5,0,0,24,2115,5
7,312,2203,3,1331,50,8,5,0,0,10,2089,5
7,312,705,3,1448,104,10,5,0,0,15,2056,5
7,312,4852,4,1535,14,11,4,1,0,14,2030,5
7,312,4876,4,1623,22,9,5,0,1,10,2031,5
7,312,1273,4,1741,307,10,4,0,0,7,2025,5
7,312,326,3,1830,3,8,4,0,0,12,2032,5
7,312,613,3,1918,347,10,4,0,0,14,2034,5
7,312,1188,3,2036,68,8,5,0,0,21,2008,5
7,311,3373,3,2125,72,8,5,0,0,22,1975,5
7,311,1216,4,2214,340,9,4,0,0,10,1956,5
7,311,2442,4,2333,275,12,4,0,0,15,1965,5
7,315,152,3,426,78,9,4,0,0,4,1708,5
7,315,411,4,457,120,8,5,0,0,5,1696,5
7,315,2669,4,391,241,6,5,0,0,9,1704,5
7,315,958,4,351,256,11,5,0,0,8,1717,5
7,314,174,3,308,5,13,4,0,0,7,1732,5
7,314,1464,4,212,210,11,5,0,0,7,1721,5
7,314,71,4,150,274,11,4,0,0,5,1754,5
7,314,560,3,94,194,10,5,0,0,5,1747,5
7,314,411,4,42,185,12,4,0,0,4,1750,5
7,314,2980,3,30,286,16,4,0,0,24,1771,5
7,314,2258,2,84,283,14,4,-1,1,38,1822,5
7,314,904,3,189,283,13,4,0,0,15,1868,5
7,314,741,3,276,270,13,4,-1,0,20,1907,5
7,313,181,3,335,297,11,5,0,0,11,1924,5
6,313,1151,2,403,252,9,5,-1,1,28,1968,5
6,313,353,3,466,236,11,4,0,0,15,1993,5
7,313,264,3,534,186,11,5,-1,0,11,2011,5
7,313,255,2,632,188,9,5,-1,0,15,2009,5
7,313,1846,3,711,237,8,5,0,0,23,2024,5
7,313,1037,3,792,199,8,5,-1,0,14,2043,5
7,313,1241,3,902,226,8,5,0,0,17,2064,5
7,313,927,3,986,251,12,4,0,0,19,2087,5
7,313,656,3,1072,241,11,4,0,0,18,2110,5
7,312,515,3,1186,315,11,4,0,0,4,2155,5
7,312,1345,3,1271,64,8,5,0,0,19,2132,5
7,312,3150,3,1356,70,7,5,1,0,24,2091,5
7,312,5946,3,1471,21,9,4,1,0,13,2054,5
7,312,635,3,1557,58,8,5,0,0,11,2050,5
7,312,667,3,1644,50,8,5,0,0,13,2037,5
7,312,815,3,1760,326,12,4,0,0,19,2035,5
7,312,119,3,1848,327,7,4,-1,0,7,2053,5
7,312,63,4,1936,75,6,5,0,1,7,2052,5
