Soil texture,Rainfall,SPI,TWI,Distance to river,Aspect,NDVI,Land cover,Profile curvature,Plan curvature,Slope,Altitude,Lithology,Longitude,Latitude
7,260,10405,4,1182,253,8,4,1,-1,20,1556,1,53.95057978400,28.47794235820
7,279,636,4,700,166,12,5,0,0,11,1565,6,53.57869389860,28.43402963070
9,323,3315,4,1753,147,11,5,0,0,24,1289,10,53.07269589290,28.70123457850
9,313,2263,2,1120,132,11,5,0,1,42,1404,3,53.22318626150,28.65632639900
7,330,1411,4,870,221,10,5,0,0,14,1255,3,53.16993938820,28.77414226740
7,324,3368,3,1120,63,14,4,0,0,22,1994,8,52.89267230290,28.68612564690
7,301,2132,4,924,45,15,3,0,0,7,1021,2,53.35387432170,28.59350702600
7,334,496,3,400,173,9,5,0,0,11,2195,8,52.90007185370,28.77983073060
7,303,51,5,150,164,21,3,0,0,6,964,1,53.36571761860,28.60968393240
7,262,408,4,898,340,7,4,0,0,13,1451,10,53.87203939100,28.39686962560
4,337,450,2,258,9,13,4,-1,0,20,1761,2,52.97487323380,28.80687167920
9,299,112,6,108,37,8,5,0,0,2,1079,1,53.53039945630,28.70477878830
7,264,1893,4,150,97,17,4,0,0,3,1933,6,53.82931859810,28.36749218700
9,279,1557,3,742,201,9,5,0,0,21,1162,12,53.52949947670,28.38574863410
7,276,812,5,0,341,20,3,0,0,2,1207,1,53.68853849500,28.51615225180
9,300,122,5,800,174,12,5,0,0,4,1133,3,53.44783752750,28.63396461410
6,308,879,3,3200,156,13,5,-1,0,22,1658,3,53.33070607580,28.64888913950
7,337,392088,5,67,344,18,4,0,0,45,1785,2,52.96162678920,28.81190551680
9,288,132,5,823,284,9,6,0,0,1,1023,1,53.58952718230,28.60846420730
7,294,180,5,210,257,17,3,0,0,3,998,1,53.47943629430,28.58197129320
9,313,458,3,657,191,11,5,0,0,9,1322,1,53.46588506310,28.80419035130
7,277,3459,2,2125,315,18,4,0,-2,43,1532,3,53.65263087850,28.47590025570
9,292,359,3,759,180,7,6,0,0,7,1007,2,53.33124987260,28.45106940570
9,287,434,3,990,128,9,5,0,0,15,1032,1,53.61335958750,28.61166934240
7,323,258,4,660,265,12,5,0,0,6,1111,2,53.17038140680,28.71864250300
7,265,177,4,1314,97,6,4,0,0,10,1530,9,53.84411372030,28.42037705490
7,321,149,5,684,229,29,3,0,0,4,906,9,53.15121746420,28.69327361910
9,302,4015,4,840,207,9,5,0,-1,14,1504,5,53.58249316730,28.80718347860
9,274,2558,4,617,236,10,5,1,0,6,1199,12,53.60702481360,28.36717167270
4,298,4860,3,948,334,15,4,0,0,37,1598,3,53.37639111320,28.55256742780
7,277,58,5,268,26,52,3,0,0,1,849,1,53.50755985150,28.32808140600
7,300,3518,2,134,97,12,5,-3,1,44,1325,3,53.35536309920,28.57782889960
7,303,140,4,1804,192,10,5,0,0,11,1680,3,53.45161125090,28.67324109530
4,299,5048,2,1148,87,13,4,0,0,46,1828,3,53.34235610700,28.56377009750
7,327,1333,3,1314,206,10,5,0,0,20,1300,2,52.96337734650,28.71795660740
7,289,1114,3,1363,197,9,5,0,0,16,1291,10,53.43183432060,28.46375473240
4,309,1271,3,1065,174,13,4,0,0,20,2137,3,53.38038372610,28.68679488650
7,312,1311,1,1376,187,14,4,0,-3,31,1531,13,53.28216358170,28.66505393900
9,326,1501,3,952,155,9,5,0,0,12,1238,2,53.02791006070,28.72035693460
7,263,1709,2,1470,189,13,5,-3,1,54,2377,3,53.84584625990,28.37499346530
7,307,881,3,576,70,13,5,0,0,13,1337,1,53.51415872050,28.78160334520
7,312,6134,4,597,359,14,4,0,1,16,1762,3,53.38335476160,28.72278910540
7,301,377,4,240,137,11,5,0,0,7,1416,5,53.58831774470,28.79893958420
7,318,157,3,30,166,10,6,0,0,12,981,9,53.06762290360,28.65228768430
7,304,4555,2,933,84,14,5,-1,0,63,1314,3,53.30025621810,28.58822965670
9,278,3520,3,300,196,8,5,0,0,15,1283,12,53.54871278170,28.39659475030
9,305,2728,2,1857,247,11,4,0,0,37,1390,3,53.37911013770,28.64528808060
7,325,3570,4,192,4,17,3,0,0,8,1409,1,52.92665599360,28.69106424620
7,277,3673,2,863,147,9,5,-1,2,52,2022,4,53.62341111110,28.45149576160
9,272,105,5,1020,129,8,5,0,0,3,1151,9,53.77160229930,28.54435472580
9,288,168,4,512,334,8,2,0,0,8,1024,1,53.60078269500,28.62220382530
7,315,319,5,390,266,14,1,0,0,4,936,1,53.19722964230,28.66315450430
7,306,729,3,730,259,15,5,-1,0,14,950,12,53.20943402980,28.56223907710
7,261,35,6,150,206,9,5,0,0,2,1414,12,53.90729841800,28.45416567030
4,263,8179,2,1842,86,17,5,6,0,54,1811,3,53.85596215180,28.37814484190
7,290,7820,5,1129,27,13,4,0,0,11,1430,3,53.46594948010,28.51420586090
7,304,1484,3,375,23,11,4,0,-1,14,1603,3,53.44500938470,28.68777511220
9,280,1236,4,1179,128,8,5,-1,0,24,1329,2,53.73370474240,28.66235485270
7,260,905,3,480,332,11,4,0,0,8,1433,12,53.92166552030,28.42220971170
9,254,1797,4,1123,82,11,5,-1,0,19,1300,1,54.01554485240,28.37271436330
9,296,306,5,30,180,11,5,0,0,2,1101,1,53.58638806390,28.72214721990
9,314,57,4,270,147,10,5,0,0,4,1173,8,53.06883777250,28.60457846070
9,326,33,7,60,135,12,5,0,0,1,1222,2,53.01885269590,28.71658413200
7,287,461,4,725,110,32,3,0,0,10,1101,3,53.51130561700,28.49888414090
0,0,60,5,0,0,0,0,0,0,0,0,0,53.64400060950,28.30707232070
7,260,60,5,313,195,8,5,0,0,2,1394,1,53.93062872200,28.45852449450
7,273,12643,4,1698,7,17,4,0,0,15,2300,5,53.68207408120,28.41623257930
7,301,1125,2,1092,132,11,5,-1,0,27,1654,3,53.31784611900,28.57285240950
7,296,2763,4,3660,243,12,4,0,0,22,1308,3,53.63138831790,28.77434140800
9,315,1172,3,210,173,12,5,0,0,15,1531,3,53.47549528230,28.83721429620
9,297,35,6,715,239,10,5,0,0,1,1152,1,53.58890349180,28.74194872310
9,289,262,5,1444,356,14,5,0,0,4,1154,12,53.38801294140,28.44020064200
7,280,247,5,30,355,7,5,0,0,3,1093,1,53.62840324450,28.50188923850
9,324,2020,3,912,183,11,5,0,0,28,1339,2,53.04465582430,28.69921578680
7,309,1026,3,1018,156,12,5,0,0,12,1639,3,53.21546436680,28.60455027480
7,337,15732,3,108,345,14,4,0,0,30,1544,2,52.97575877820,28.80960111580
9,299,5999,4,362,65,10,5,0,0,9,1308,3,53.49262799880,28.66361668920
7,312,45,5,108,149,8,2,0,0,1,1226,9,53.43956228460,28.76017320860
9,296,0,8,90,288,12,5,0,0,0,1063,1,53.35224831540,28.50676773370
7,261,557,2,276,286,10,4,0,1,14,1487,2,53.90141403170,28.39701196160
7,301,941,5,360,232,10,5,0,0,5,1192,2,53.56677033390,28.76127935990
7,303,1340,3,400,154,10,5,0,0,19,1084,3,53.25481854110,28.55620033570
9,293,2204,5,982,315,12,5,0,0,8,1092,10,53.38249509830,28.48554602960
9,319,15,6,930,105,11,5,0,0,2,920,1,53.12082555300,28.66758312480
7,283,116,5,3078,101,11,5,0,0,1,1055,1,53.61348398990,28.55267480310
9,293,256,5,1050,261,7,5,0,0,6,1066,9,53.59275900970,28.68720692630
9,289,1701,4,360,239,11,5,0,0,9,1073,12,53.37712079140,28.43671882670
7,290,93,5,182,306,14,3,0,0,2,1039,1,53.60980341640,28.66303161960
7,274,145,5,295,324,6,5,0,0,2,1266,1,53.70879720520,28.50592435420
7,313,1966,3,499,186,12,4,1,-2,17,1816,5,53.51572900860,28.87690801230
7,315,251,2,426,188,8,6,0,0,30,985,1,53.19357942930,28.65565077730
9,275,225,4,3427,96,8,5,0,0,8,1325,2,53.78091586760,28.62857432270
7,267,787,4,2974,239,10,5,0,0,10,1554,12,53.82187368860,28.49242282540
7,293,120,5,189,120,13,5,0,0,2,979,1,53.49768239970,28.59329177490
7,277,2160,3,1712,29,12,4,-1,0,8,1693,3,53.64884944190,28.47045647520
7,297,81,6,30,0,13,2,0,0,0,1044,2,53.54784521720,28.69017614210
7,276,145,5,550,254,12,5,0,0,2,1186,1,53.67553125180,28.49027479860
9,296,361,4,1154,141,7,5,0,0,6,1050,3,53.48819172600,28.62237060040
7,263,305,3,474,124,8,5,0,0,12,1465,10,53.86352506160,28.40612593630
4,320,273,2,968,271,12,4,1,0,13,2539,3,53.23607557440,28.71732401640
7,316,91,5,792,24,9,5,0,0,2,1225,1,53.38899945650,28.76661636360
7,275,636,5,516,12,15,3,0,0,3,1229,1,53.69670756620,28.51337857590
9,328,805,2,2546,171,10,5,0,0,24,1355,2,52.97232531270,28.72723782340
7,311,273,5,442,204,11,5,0,0,5,1532,1,53.52534561960,28.85065681480
7,273,1038,5,2358,293,12,5,0,0,6,1314,12,53.74027679170,28.51509053670
7,261,371,3,450,188,7,5,0,0,28,1482,10,53.89079326220,28.38846101740
7,313,1102,3,324,229,11,5,0,0,16,1642,5,53.51289974810,28.86794450170
7,262,162,5,573,71,10,5,0,0,0,1504,12,53.88185554920,28.43588000610
7,310,1068,3,2694,122,12,4,0,0,15,2413,3,53.34340523250,28.67355542430
7,334,60,5,42,14,16,5,0,0,5,1253,10,53.02930615320,28.78871682910
7,266,2413,3,1317,204,12,5,0,0,19,1663,12,53.80818033720,28.42874181820
7,260,2702,4,134,54,9,5,0,0,6,1288,2,53.90043342470,28.38631241320
7,264,5395,2,90,41,11,4,0,0,31,1696,1,53.82961877230,28.38957679760
9,332,181,3,657,84,12,5,0,0,12,1042,2,53.12102115860,28.78142308980
4,293,0,7,331,348,38,3,0,0,1,1063,2,53.46772269580,28.56645988340
9,295,97,6,1744,206,8,5,0,0,2,1072,9,53.57185636850,28.70150752480
7,275,1328,3,1405,284,11,4,0,0,25,2188,5,53.64365285100,28.42868437310
9,300,1127,3,530,106,11,5,0,0,17,1133,3,53.45159285250,28.63577548320
7,262,2923,3,859,58,11,5,0,0,15,1651,6,53.85577379080,28.36152773050
9,297,4338,3,1154,196,9,5,0,0,17,1096,3,53.46972282830,28.61938245180
7,302,228,6,30,275,12,5,0,0,2,964,1,53.38350063400,28.60915155600
7,305,12528,4,2261,43,15,4,-1,0,34,1522,3,53.27990008170,28.58704169330
7,324,863,5,1566,30,10,5,0,0,2,1240,10,52.94337116360,28.68928038330
7,326,110,5,84,53,13,3,0,0,4,1261,1,52.93872815610,28.70678782510
7,306,349,4,1251,203,9,5,0,0,7,1295,9,53.51280950170,28.76917068550
7,302,4137,4,658,323,14,4,0,0,24,1650,3,53.30967290680,28.57534360160
4,279,64,5,1966,25,32,3,0,0,6,1130,1,53.68739678770,28.56916396560
7,305,659,2,182,102,12,5,0,0,19,1039,3,53.29921802640,28.60050829840
7,291,403,4,330,11,10,6,0,0,6,940,2,53.33089683110,28.43729764330
7,279,1709,4,42,194,15,4,0,0,11,1657,6,53.59496914780,28.44351532010
9,255,5106,3,1724,146,10,5,0,0,27,1265,1,54.00416785800,28.36575070250
9,318,404,5,1180,206,11,6,0,0,1,929,10,53.17018804220,28.68070877280
7,286,887,4,2430,41,10,5,0,0,5,1035,1,53.59009247070,28.57540639600
9,290,76,5,301,237,6,6,0,0,3,1018,1,53.57557814890,28.62814585750
7,284,115,5,152,71,1,2,0,0,6,1056,1,53.54808654950,28.49179756630
9,280,108,4,829,108,8,5,0,0,2,1094,9,53.70642154900,28.61499144120
7,272,384,6,240,300,9,5,0,0,1,1110,1,53.78744655980,28.56420918430
7,294,47,5,150,32,12,5,0,0,4,997,1,53.50009293690,28.60544033480
7,279,1941,3,1023,38,13,4,0,0,23,2175,3,53.61275703920,28.45939137550
